name,binaryflag,mass,radius,period,semimajoraxis,eccentricity,periastron,longitude,ascendingnode,inclination,temperature,age,discoverymethod,discoveryyear,lastupdate,system_rightascension,system_declination,system_distance,hoststar_mass,hoststar_radius,hoststar_metallicity,hoststar_temperature,hoststar_age,list
Kepler-304 d,0,,0.25061,9.653471,,,,,,,,,transit,2014.0,14/02/26,19 37 46.0343,+40 33 27.1990,482.29,0.687,0.687,,4731.0,,Confirmed planets
Kepler-304 c,0,,0.19775,5.315946,,,,,,,,,transit,2014.0,14/02/26,19 37 46.0343,+40 33 27.1990,482.29,0.687,0.687,,4731.0,,Confirmed planets
Kepler-304 e,0,,0.107,1.49914695,,,,,,,,,transit,2016.0,16/05/10,19 37 46.0343,+40 33 27.1990,482.29,0.687,0.687,,4731.0,,Confirmed planets
Kepler-1479 b,0,,0.163,14.53261362,,,,,,,,,transit,2016.0,16/05/10,19 02 50.8629,+49 42 23.9949,744.269,0.99,0.98,-0.02,5796.0,,Confirmed planets
Kepler-246 b,0,,0.21324,4.60182,,,,,,,,,transit,2014.0,14/02/26,19 45 56.0187,+42 39 48.3205,768.87,0.759,0.831,,5206.0,,Confirmed planets
Kepler-246 c,0,,0.1367,11.187161,,,,,,,,,transit,2014.0,14/02/26,19 45 56.0187,+42 39 48.3205,768.87,0.759,0.831,,5206.0,,Confirmed planets
HD 4113 b,2,1.602,,526.686,1.298,0.8999,-48.45,,,,,,RV,2007.0,17/12/15,00 43 12.5958,-37 58 57.473,41.7,1.05,,0.2,5688.0,5.0,"Confirmed planets, Planets in binary systems, S-type"
HD 75898 b,0,2.51,,418.2,1.19,0.1,,,,,307.6,,RV,2007.0,09/10/06,08 53 50.8052,+33 03 24.5230,80.58,1.28,1.6,0.27,6021.0,,Confirmed planets
WASP-48 b,0,0.98,1.67,2.143634,0.03444,0.0,,,,80.09,2030.0,,transit,2011.0,11/04/15,19 24 38.9615,+55 28 23.3317,460.2,1.19,1.75,-0.12,5920.0,,Confirmed planets
EPIC 228754001 b,0,0.495,1.089,9.1708,0.0916,0.29,82.6,,,77.56,,,transit,2017.0,17/07/12,12 08 39.9335,-08 44 49.8466,620.42,1.19,4.11,-0.11,4878.0,5.5,Confirmed planets
Gliese 832 b,0,0.688908,,3660.0,3.6,0.08,246.0,40.0,,,,,RV,2008.0,14/06/24,21 33 33.9749,-49 00 32.4034,4.94,0.45,,-0.3,3472.0,,Confirmed planets
Gliese 832 c,0,0.015729,,35.67,0.162,0.03,80.0,246.0,,,,,RV,2014.0,14/06/24,21 33 33.9749,-49 00 32.4034,4.94,0.45,,-0.3,3472.0,,Confirmed planets
K2-122 b,0,,0.108,2.219282,0.0285,,,,,,814.0,,transit,2017.0,18/10/26,08 25 54.3164,+20 21 34.4484,72.19,0.62,0.6,0.06,4027.0,,Confirmed planets
Kepler-1831 b,0,0.0143,0.176,5.78387022,0.0655,0.0,,,,89.59,1051.0,,transit,2021.0,22/02/01,19 41 13,+49 35 21,1053.49,1.12,1.01,0.07,6063.0,,Confirmed planets
BD+15 2940 b,0,1.11,,137.48,0.539,0.26,302.0,,,,,,RV,2013.0,15/11/23,16 00 22.93827,+15 32 48.9291,508.0,1.1,14.7,0.28,4796.0,7.1,Confirmed planets
Kepler-1686 b,0,,0.127,9.30987,,,,,,,,,transit,2020.0,20/09/03,19 26 26,+42 02 09,745.49,,1.14,,5774.33,,Confirmed planets
HD 210702 b,0,1.9,,354.8,1.2,0.094,126.0,,,,,,RV,2007.0,15/11/02,22 11 51.33086,+16 02 25.9903,54.9,1.68,5.1,0.12,4967.0,,Confirmed planets
HD 180314 b,0,22.0,,396.03,1.4,0.257,,,,,553.4,,RV,2010.0,11/08/05,19 14 50.2087,+31 51 37.2594,132.0,2.6,9.2,0.2,4917.0,,Confirmed planets
Gliese 1214 b,0,0.02571,0.24463,1.580404497,0.01411,,,,,88.17,,,transit,2009.0,21/08/02,17 15 19.00,+04 57 50.00,13.0,0.15,0.216,0.39,3026.0,,Confirmed planets
K2-86 b,0,,0.1766,8.77586,,,,,,88.6,,,transit,2018.0,18/07/24,03 26 12.6713,+18 38 08.2019,245.5,0.757,0.722,-0.35,,,Confirmed planets
EPIC 201295312 b,0,,0.2453,5.65639,,0.12,,,,,,,transit,2015.0,16/03/07,11 36 02.7919,-02 31 15.1678,331.0,1.13,1.52,0.13,5830.0,,Confirmed planets
Kepler-1211 b,0,,0.227,11.01816836,,,,,,,,,transit,2016.0,16/05/10,19 02 52.9871,+40 51 25.0572,,0.96,0.94,-0.08,5705.0,,Confirmed planets
Gliese 176 b,0,0.0264,,8.7836,0.066,0.0,0.0,,,,,,RV,2007.0,16/02/03,04 42 55.77497,+18 57 29.4043,9.42,0.49,0.53,-0.1,3520.0,,Confirmed planets
WASP-161 b,0,2.49,1.143,5.4060425,0.0673,,,,,89.01,1557.0,,transit,2018.0,18/12/13,08 25 21.0836,-11 30 03.5510,346.46,1.39,1.71,0.16,6400.0,,Confirmed planets
Kepler-1667 b,0,,0.266,83.5781,,,,,,,,,transit,2020.0,20/09/03,18 54 08,+48 05 39,638.35,,1.06,,5951.0,,Confirmed planets
Kepler-712 b,0,,0.304,21.02247699,,,,,,,,,transit,2016.0,16/05/10,19 39 38.3294,+42 56 06.8693,893.336,0.84,0.78,-0.03,5148.0,,Confirmed planets
Kepler-712 c,0,,0.433,226.89047,,,,,,,,,transit,2016.0,16/05/10,19 39 38.3294,+42 56 06.8693,893.336,0.84,0.78,-0.03,5148.0,,Confirmed planets
Kepler-535 b,0,,0.211,4.90332155,,,,,,,,,transit,2016.0,16/05/10,19 46 15.9984,+49 41 46.4671,699.447,1.18,1.27,0.13,6123.0,,Confirmed planets
Kepler-1000 b,0,,0.425,120.0181272,,,,,,,,,transit,2016.0,16/05/10,19 06 44.5199,+47 05 53.5765,1152.7378,1.4,1.51,0.35,6453.0,,Confirmed planets
Kepler-1131 b,0,,0.142,3.53232449,,,,,,,,,transit,2016.0,16/05/10,19 42 36.3476,+49 15 40.6497,1061.91,1.03,1.04,0.05,5851.0,,Confirmed planets
MOA-2016-BLG-319L b,0,0.62,,,0.95,,,,,,,,microlensing,2018.0,18/11/29,17 54 58,-29 45 02,6800.0,0.15,,,,,Confirmed planets
Kepler-633 b,0,,0.145,8.50340718,,,,,,,,,transit,2016.0,16/05/10,19 40 52.1542,+40 35 31.9542,958.957,1.02,1.15,-0.05,5899.0,,Confirmed planets
Kepler-1221 b,0,,0.168,12.00096042,,,,,,,,,transit,2016.0,16/05/10,19 03 17.3722,+45 42 42.7640,,0.87,0.82,0.09,5194.0,,Confirmed planets
HD 176986 b,0,0.01806,,6.4898,0.06296,0.066,249.0,,,,,,RV,2017.0,17/12/21,19 03 05.8729,-11 02 38.1312,27.81,0.79,0.78,0.03,4931.0,,Confirmed planets
HD 176986 c,0,0.02888,,16.8191,0.11878,0.111,270.0,,,,,,RV,2017.0,17/12/21,19 03 05.8729,-11 02 38.1312,27.81,0.79,0.78,0.03,4931.0,,Confirmed planets
